股票代號,股票名稱,股數_昨日,股數_今日,股數差異,持股權重_昨日,持股權重_今日
005930 KS,samsung electronics co ltd(005930 KS),200000.0,0.0,-200000.0,1.91%,0%
2327,國巨*,2200000.0,2400000.0,200000.0,3.27%,3.44%
2330,台積電,550000.0,620000.0,70000.0,2.27%,2.39%
285A JP,KIOXIA HOLDINGS CORP,204800.0,225000.0,20200.0,4.87%,5.54%
3711,日月光投控,1100000.0,1400000.0,300000.0,1.15%,1.51%
6871 JP,MICRONICS JAPAN CO LTD,140000.0,300000.0,160000.0,0.69%,1.55%
6981 JP,MURATA MANUFACTURING CO LTD,1066000.0,1250000.0,184000.0,3.18%,3.74%
8035 JP,TOKYO ELECTRON LTD,88000.0,110000.0,22000.0,1.96%,2.47%
AMAT US,APPLIED MATERIALS INC,115000.0,125000.0,10000.0,3.52%,3.78%
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000.0,160000.0,40000.0,1.67%,2.18%
FTNT US,FORTINET INC,0.0,100000.0,100000.0,0%,0.84%
NOW US,SERVICENOW INC,0.0,100000.0,100000.0,0%,0.56%
SNDK US,SANDISK CORP,45000.0,48000.0,3000.0,4.17%,4.58%
